Time(s),CH1(V),CH2(V),CH3(V),CH4(V)
-1.9939E-04,-6.566121E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-7.587960E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-7.077041E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-6.566121E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-6.463937E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-6.361753E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-5.953017E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-4.318072E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-3.091864E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-1.456920E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.780237E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,4.845757E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,7.911277E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.302048E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.812968E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,1.302048E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,7.911277E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-6.394483E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-2.070024E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-3.807152E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-6.770489E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-7.996696E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-8.916353E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-9.836008E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9939E-04,-1.044911E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-1.106222E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-1.055130E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-1.004038E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-9.018537E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-7.996696E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-6.566121E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-5.135544E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-3.194048E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,-1.252552E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9938E-04,1.780237E-03,4.757636E-01,4.804238E-01,4.602837E-01
